path,energi0,homogenitas0,entropy0,contras0,energi45,homogenitas45,entropy45,contras45,energi90,homogenitas90,entropy90,contras90,energi135,homogenitas135,entropy135,contras135,label
batik\image_00001.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00002.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00003.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00004.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00005.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00006.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00007.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00008.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00009.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00010.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
batik\image_00011.jpg,0.007197931,1905.733944,6.838876319,1904.733944,0.005845248,2511.014508,6.939009745,2510.014508,0.007206182,1775.046014,6.827994734,1774.046014,0.005842106,2740.530039,6.960297078,2739.530039,batik
